FID;Loading_Month;BPC_No;Configurat;Enabled;Grounded;PoleMateri;OperatingV;PoleStruct;PoleSuppor;PoleType;SUBTYPE;ServicesO;SizeForCon;VoltageFor;WoNumber;WireSuppor;PoleHeight;WirestayNo;DualStatus;ServicesU;Services3p;ServicesU1;ID
112;May; ;1;1;1;Wood;400;TERMINAL;1;LV;Pole; ;50 sqmm;1;40376793;1;9;1;7; ; ;1;0
113;May; ;1;1;1;Wood;400;INTER/ANGLE;1;LV;Pole; ;50 sqmm;1;40462255;1;9;1;7; ; ;1;0
114;May; ;1;1;1;Wood;400;INTER/ANGLE;1;LV;Pole; ;50 sqmm;1;40462255;1;9;1;7; ; ;1;0
115;May; ;1;1;1;Wood;400;INTER/ANGLE;1;LV;Pole;1;50 sqmm;1;456785;1;9;1;7; ; ; ;1
116;May; ;1;1;1;Wood;400;TERMINAL;1;LV;Pole;1;50 sqmm;1;456785;1;9;1;7; ; ;2;2
117;May; ;4;1;1;Wood;11000;INTERMEDIATE;1;Dual;Pole;1;25/50 sqmm;7;458177;1;11;0;2; ; ;1;1
118;May; ;4;1;1;Wood;11000;T/OFF;1;Dual;Pole; ;25/50 sqmm;7;458177;1;11;0;3; ; ; ;2
119;May; ;1;1;1;Wood;400;INTERMEDIATE;1;LV;Pole; ;50 sqmm;1;460520;1;9;0;7; ; ;3;1
120;May; ;1;1;1;Wood;400;T/OFF;2;LV;Pole; ;50 sqmm;1;460520;1;9;1;7; ; ; ;2
121;May; ;4;1;1;Wood;11000;T/OFF;1;Dual;Pole; ;25/50 sqmm;7;462857;1;11;0;3; ; ; ;1
122;May; ;4;1;1;Wood;11000;INTER/ANGLE;1;Dual;Pole; ;25/50 sqmm;7;462857;2;11;0;2; ; ;1;2
123;May; ; ; ; ; ;400;INTER/ANGLE; ;LV; ; ; ; ; ; ; ; ; ; ; ; ;0
124;May; ;1;1;1;Wood;400;TERMINAL;1;LV;Pole; ;50 sqmm;1;395630;1;9;1;7; ; ;1;1
125;May; ;1;1; ;Wood;400;INTERMEDIATE;1;LV;Pole; ;50 sqmm;1;395630;1;9;0;7; ; ; ;2
126;May; ;1;1; ;Wood;400;INTERMEDIATE;1;LV;Pole; ;50 sqmm;1;395630;1;9;0;7; ; ; ;3
127;May; ;1;1;1;Wood;400;T/OFF;1;LV;Pole; ;50 sqmm;1;395630;1;9;1;7; ; ; ;4
128;May; ;1;1;1;Wood;400;INTER/ANGLE;2;LV;Pole; ;50 sqmm;1;395630;1;9;0;7; ; ; ;3
129;May; ;1;1;1;Wood;400;INTER/ANGLE;1;LV;Pole; ;50 sqmm;1;396201;2;9;0;7; ; ;2;1
130;May; ;1;1;1;Wood;400;TERMINAL;2;LV;Pole; ;50 sqmm;1;396201;2;9;0;7; ; ;1;2
131;May; ;1;1;1;Wood;400;TERMINAL;1;LV;Pole; ;50 sqmm;1;10175385;2;9;0;7; ; ;1;1
132;May; ;1;1;1;Wood;400;T/OFF;1;LV;Pole; ;50 sqmm;1;10175385;2;9;0;7; ; ;1;2
133;May; ;1;1;1;Wood;400;INTER/ANGLE;1;LV;Pole; ;50 sqmm;1;5105370;1;9;1;7; ;1;1;0
134;May; ;1;1;1;Wood;400;INTER/ANGLE;1;LV;Pole;1;50 sqmm;1;5105370;1;9;1;7; ; ;1;0
135;May; ;ABC;TRUE;YES;Wood;400;TERMINAL;None;LV;Pole; ;50 sqmm;1;412072;Out Rigger Stay;9;No Wire stay;7;1; ; ;0
136;May; ;ABC;TRUE;NO;Wood;400;INTER/ANGLE;None;LV;Pole; ;50 sqmm;1;412072;Out Rigger Stay;9;1 Wire stay;7;None; ; ;0
137;May; ;ABC;TRUE;YES;Wood;400;INTER/ANGLE;None;LV;Pole; ;50 sqmm;1;412072;Out Rigger Stay;9;1 Wire stay;7;1; ; ;0
138;May; ;ABC;TRUE;YES;Wood;400;T/OFF;None;LV;Pole; ;50 sqmm;1;0;Out Rigger Stay;9;No Wire stay;7;None; ; ;0
139;May; ;ABC;TRUE;NO;Wood;400;INTERMEDIATE;None;LV;Pole; ;50 sqmm;1;0;No Stay;9;No Wire stay;7;None; ; ;0
140;May; ;ABC;TRUE;YES;Wood;400;INTER/ANGLE;Strut Pole;LV;Pole; ;50 sqmm;1;0;No Stay;9;No Wire stay;7;None; ; ;0
141;May; ;ABC;TRUE;YES;Wood;400;INTER/ANGLE;Strut Pole;LV;Pole; ;50 sqmm;1;0;No Stay;9;No Wire stay;7;None; ; ;0
